Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Viet Nam,VNM,Thoi gian bat buoc de khoi su kinh doanh (ngay),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,47,41,46,37,37,37,36,36,32,34,34,20,24,22,17,16,
Viet Nam,VNM,Chi so thuan loi hoat dong kinh doanh (1=cac qui che tao dieu kien thuan loi nhat cho hoat dong kinh doanh),IC.BUS.EASE.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,
Viet Nam,VNM,"Tong thu ngan sach, khong ke cac khoan tro cap (% GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,"No chinh phu trung uong, tong cong (% GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,Khoan chi cho nghien cuu va phat trien (% GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19273,,,,,,,,,0.19044,,0.37359,,0.44113,,0.52674,,,
Viet Nam,VNM,"Lam phat, gia tieu dung (% hang nam)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.675,3.209526063,7.266198044,4.117102358,-1.710337279,-0.431544512,3.830828382,3.234648173,7.754947487,8.284572431,7.418017151,8.344448898,23.11544835,6.7169827,9.207466488,18.67773228,9.094703396,6.592674759,4.084554466,0.631200905,2.66824817,3.520256888,3.539628059,2.795823675,3.220934367
Viet Nam,VNM,"Luong nuoc ngot lay ra hang nam, tong cong (% nguon luc ben trong)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,11.35893155,,,,,13.29137451,,,,,15.46388425,,,,,18.28747913,,,,,21.11864218,,,,,22.77740679,,,,,22.77740679,,,,,22.77740679,,,
Viet Nam,VNM,Luong khi thai CO2 (met tan tren dau nguoi),EN.ATM.CO2E.PC,0.181946687,0.183098874,0.217693502,0.196997034,0.20987044,0.217933954,0.225433919,0.195461323,0.203763824,0.201174203,0.649679959,0.551401523,0.506231998,0.538520415,0.400420634,0.447477934,0.279673019,0.300361223,0.296767235,0.306645739,0.30987396,0.319261217,0.323557064,0.332214839,0.294899843,0.347570769,0.370680182,0.40767487,0.355998468,0.263108403,0.270779674,0.263692435,0.272418874,0.335406593,0.363198329,0.404749873,0.44919898,0.520398399,0.574404289,0.571512649,0.629580043,0.692572066,0.812908357,0.856118923,1.016820775,1.097901436,1.131680197,1.23367488,1.363814127,1.512419303,1.698806226,1.676805213,1.639942555,1.692844192,1.837890351,2.257300246,2.390740709,2.348081292,2.698805922,,
Viet Nam,VNM,Su dung nang luong (kg dau tuong duong tinh theo dau nguoi),EG.USE.PCAP.KG.OE,,,,,,,,,,,,297.2383439,292.9831505,299.4675166,274.606309,285.463992,250.7370552,255.0017827,256.0843669,259.2335766,265.1316856,262.4927949,265.7819001,268.0605879,265.0447462,262.1898003,268.5381556,277.8733827,274.3597278,262.4145813,262.7789952,260.7910404,266.6514661,283.6491513,278.6452825,292.1519026,303.8330371,322.8892504,339.7704421,345.5890807,359.6033188,379.5465709,410.1504584,426.6101834,469.1355828,492.0724455,499.5559018,532.4878411,563.9278886,609.2761526,669.6998914,662.5584901,667.324173,660.340504,,,,,,,
Viet Nam,VNM,Tieu dung dien (kWh tren dau nguoi),EG.USE.ELEC.KH.PC,,,,,,,,,,,,40.32907808,37.67414743,39.33179128,33.88759734,38.87664956,46.3189138,53.2626405,54.04258868,52.88593141,53.97753551,54.32002317,56.71106552,56.06346687,64.96101272,68.00036495,71.00218338,77.68990016,84.68924162,91.64506131,95.25090546,98.78025183,101.8431824,112.0603802,129.3121825,153.1027802,179.8373442,202.8957383,232.962096,253.3027061,286.6209761,326.531876,377.5584015,433.1990914,483.9590142,569.9568505,645.2089812,728.0882694,802.5539431,906.1541067,1022.43262,1102.807176,1206.31043,1276.856078,1423.69991,,,,,,
Viet Nam,VNM,"Tong nghia vu tra no (% doanh so xuat khau hang hoa, dich vu va thu nhap can ban)",DT.TDS.DECT.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.117985816,7.459088681,9.052122774,9.981575776,7.471825151,6.707956397,6.109527747,3.555915781,2.673828759,2.562313316,2.121557333,2.244548714,1.984014151,2.342626191,2.345899635,3.890294673,3.644516652,3.161817701,4.172907151,3.817995398,3.868510133,5.922366271,6.995912793,5.802447831,5.632885923
Viet Nam,VNM,Tro cap phat trien chinh thuc rong nhan duoc (US$ hien tai),DT.ODA.ODAT.CD,191850006.1,167110000.6,176029998.8,226669998.2,244990005.5,314149993.9,516580017.1,460600006.1,449600006.1,464359985.4,435809997.6,464179992.7,574700012.2,477299987.8,705380004.9,387190002.4,233369995.1,295950012.2,417049987.8,379609985.4,270089996.3,270049987.8,248000000,149210006.7,152139999.4,151149993.9,190800003.1,127150001.5,164119995.1,124550003.1,180550003.1,227300003.1,566219970.7,249809997.6,895460022,777989990.2,910299987.8,851989990.2,1050660034,1239790039,1485270020,1256020020,1064170044,1533939941,1657989990,1693479980,1690099976,2346639893,2320510010,3328030029,2769860107,3332000000,4113310059,4085600098,4215620117,3167389893,2906070068,2407489990,1647770020,1094630005,
